Name,2MASS Name,SDSS Name,PanSTARRS Name,Other Name,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,radius,e_radius,log_g,e_log_g,Teff,e_Teff,Mass,e_Mass,LACEwING,D_Trig,e_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,PanSTARRS_y,e_PanSTARRS_y,J,e_J,H,e_H,K,e_K,MKO_H,e_MKO_H,InDwarfArchive,L_T Transition,Priority,Declination,Visible,Ltflag,Jflag,Ranking,Star,Min,Max,R,Source,Filename,Filename2,WISE Name,Peculiarities,Member,Quality,LACEwING probability,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,Young,Gaia_G,HRV,e_HRV,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Comments,Polarization,Polflag,e_Gaia_G,MKO_J,e_MKO_J,IRAC3p6,e_IRAC3p6,IRAC4p5,e_IRAC4p5,e_WISE_W4,MKO_K,e_MKO_K,Instrument,MKO_Y,e_MKO_Y,Q/I,e_Q/I,U/I,e_U/I,Variable,e_Variable,Variable%,Variable_period,Varflag,IRAC5p8,e_IRAC5p8,IRAC8,e_IRAC8,e_Variable_period,Sp Note,MKO_L,e_MKO_L
J1502+1825,15023845+1825398,150238.47+182539.8,150238.454+182539.860,,15 02 38.459,+18 25 39.80,225.660244,18.427723,L0,Opt,,,,,,,,,(None),,,8.9,19.5,11.6,23,24.852,0.912,21.465,0.57,19.798,0.223,20.717,0.028,19.209,0.01,18.27,0.027,16.473,0.13,15.535,0.116,15.28,0.178,,,X,,,D,,,0,,,,,,,,,J150238.46+182539.9,,,,,14.973,0.031,14.729,0.05,13.029,,9.005,,,-19.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1502+6138,15024082+6138158,150240.80+613815.4,150240.614+613816.320,,15 02 40.826,+61 38 15.88,225.67011,61.637745,L0,Opt,,,,,,,,,(None),,,-115.7,8.6,37,29.4,25.02,0.761,25.528,0.469,23.251,0.288,20.782,0.064,19.162,0.052,18.249,0.017,16.346,0.121,16.084,0.233,15.385,0.209,,,X,,,D,,,0,,,,,,,,,J150240.63+613816.2,,,,,14.993,0.03,14.854,0.046,12.945,,9.572,,,-11,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1503+1153,15030952+1153228,150309.53+115323.1,150309.537+115324.028,,15 03 09.528,+11 53 22.89,225.789701,11.889691,L2,Opt,,,,,,,,,(None),,,20.6,14.2,82.2,28.3,23.676,0.58,24.629,0.419,23.17,0.236,20.578,0.03,19.154,0.018,18.22,0.015,16.296,0.097,15.404,0.098,14.787,0.092,,,X,,,D,,,0,,,,,,,,,J150309.53+115323.6,,,,,14.514,0.028,14.247,0.042,12.68,,9.351,,,-4.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503+2525,15031961+2525196,,150319.481+252515.938,2MASS J15031961+2525196,15 03 19.613,+25 25 19.68,225.831719,25.422132,T6,Opt,0.94,0.16,5.01,0.48,1016,85,44.34,26.3,(None),6.36,0.09,8.97,17.2,20.72,17.46,,,18.126,0.006,,,,,16.775,0.005,,,13.937,0.024,13.856,0.031,13.963,0.059,,,X,Opt,1,D,X,1,1,2,15031961+2525196,0.658283,2.56092,244.9,SpeX,spex-prism_2MASSJ15031961+2525196_20030522_BUR04B.txt,,150319.68+252525.6,,,,,13.507,0.024,11.723,0.021,10.53,0.049,,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J1504-4552,15040744-4552200,,,WISE J150406.66-455223.9,15 04 06.641,-45 52 24.05,226.0276726,-45.8733478,L8,NIR,,,,,,,,,(None),,,-762,10.7,-366,17,,,,,,,,,,,,,16.562,0.112,15.432,0.079,14.826,0.095,,,,NIR,1,,,1,0,,,,,,,,,J150406.64-455224.0,,,,,14.126,0.03,13.736,0.041,12.664,,8.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504+1027,,150411.63+102718.2,150411.812+102715.440,CFBDS J150411+102717,15 04 11.64,+10 27 18.4,226.0485,10.4551111,T7,NIR,0.94,0.16,5,0.48,992,85,43.97,26.43,(None),21.69,0.71,,,,,24.429,0.787,25.424,0.522,24.758,0.588,24.07,0.57,21.266,0.047,19.538,0.086,,,,,,,,,X,,,D,,,0,,1504+10,1.01405,2.50407,758.3,Leggett,T7_SDSS1504+10.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULAS J150457.66+053800.8,,,150457.542+053759.402,HIP 73786 B,15 04 57.565,+05 37 59.81,226.2398533,5.6332805,T6.5,NIR,,,,,,,,,(None),18.59,0.97,-661.12,59.52,-510.05,59.47,,,,,,,,,,,19.395,0.053,,,,,,,17.05,0.04,X,NIR,1,D,,1,0,1,,,,,,,,J150457.56+053759.8,Peculiar Spectrum ; Companion,,,,15.999,0.05,14.234,0.043,12.234,,9.253,,,,,,,,,,,,,16.59,0.02,15.13,0.03,14.08,0.03,,17.41,0.09,,,,,,,,,,,,,,,,,,,,
J1505-2853,15050230-2853408,,150502.399-285345.927,PSO J226.2599-28.8959,15 05 02.386,-28 53 45.69,226.2599436,-28.8960258,T1.5,NIR,,,,,,,,,(None),,,99.7,,-438.82,,,,,,,,,,19.41,0.015,18.023,0.021,15.832,0.07,15.238,0.081,15.056,0.132,,,X,NIR,1,W,X,1,0,1,,,,,,,,J150502.38-285345.6,,,,,14.041,0.027,13.26,0.034,11.921,0.344,8.457,,,,,,,,,,,,,,,13.56,0.02,13.29,0.02,,,,,,,,,,,,,,,,,,,,,,,
J1505+0703,,,150548.280+070313.156,ULAS J150547.89+070316.6,15 05 47.89,+07 03 16.6,226.44954,7.054611,T4,NIR,,,,,,,,,(None),,,,,,,,,19.756,0.006,19.532,0.014,19.2,0.008,19.203,0.021,19.143,0.012,,,,,,,19.1,0.03,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.96,0.03,,,,,,19.29,0.03,,20.32,0.02,,,,,,,,,,,,,,,,,
J1505+6105,15055382+6105493,150553.81+610549.4,150553.797+610549.448,,15 05 53.775,+61 05 49.32,226.4740627,61.0970325,L0,Opt,,,,,,,,,(None),,,-25.905,2.862,2.524,2.863,24.49,1.026,23.947,0.137,20.82,0.043,18.316,0.007,17.106,0.012,16.39,0.01,14.755,0.034,14.161,0.044,13.772,0.049,,,,,,D,X,,0,,,,,,,,,J150553.77+610549.3,,,,,13.524,0.024,13.301,0.026,12.633,0.305,9.588,,18.78,-7.9,5,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1506+7027,,,150649.795+702736.941,WISEPC J150649.97+702736.0,15 06 49.924,+70 27 36.15,226.7080183,70.4600429,T6,NIR,,,,,,,,,(None),3.23,0.44,,,,,,,,,,,,,18.128,0.038,,,14.328,0.095,14.15,0.203,14.048,0.136,13.91,0.04,X,NIR,1,W,X,1,0,1,,,,,,,,J150649.92+702736.1,,,,,13.403,0.024,11.276,0.019,10.188,0.039,8.859,,,,,,,,,,,,,13.56,0.05,12.629,0.017,11.315,0.016,0.498,,,,,,,,,,,,,,,,,,,,,,
1506+1321,15065441+1321060,,150654.711+132113.058,2MASSW J1506544+132106,15 06 54.411,+13 21 06.08,226.726713,13.351689,L4,NIR,1.02,0.07,5.21,0.15,2004,75,68.77,12.85,(None),,,-1086.94,12.67,13.28,11.38,,,,,,,21.863,0.179,20.25,0.182,,,13.365,0.023,12.38,0.021,11.741,0.019,,,X,,,D,X,,1,1,1506+1321,0.93144,4.148904,2072.6,IRTF,L3_2MASSJ1506+1321.txt,2mass1506.dat,150653.57+132106.0,,,,,11.176,0.023,10.876,0.021,10.527,0.052,,,,,,,,,,,,,,,,,,,,,,,SpeX,,,,,,,,,,,,,,,,,,,
J1507+6030,15071202+6030393,150712.06+603038.6,150712.188+603038.289,,15 07 12.024,+60 30 39.40,226.800101,60.510944,L2:,Opt,,,,,,,,,(None),,,,,,,24.994,0.878,25.769,0.526,23.073,0.279,20.652,0.015,19.226,0.016,18.179,0.018,16.033,0.099,14.992,0.077,14.257,0.06,,,,,,D,,,0,,,,,,,,,J150712.17+603038.5,,,,,13.743,0.024,13.42,0.027,12.837,0.423,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507-1627,15074769-1627386,,150747.563-162749.471,2MASSW J1507476-162738,15 07 47.693,-16 27 38.62,226.948719,-16.460728,L5.5,NIR,0.99,0.09,5.18,0.23,1607,70,59.66,15.62,(None),7.33,0.03,-161.48,1.55,-888.55,0.57,,,,,19.948,0.007,17.873,0.006,15.997,0.004,14.969,0.008,12.83,0.027,11.895,0.024,11.312,0.026,,,X,NIR,,D,X,,1,3,1507-1627,0.931857,4.152349,2074.2,IRTF,L5_2MASSJ1507-1627.txt,2mass1507.dat,150747.57-162749.2,,,,,10.667,0.023,10.378,0.022,9.622,0.038,,,,-39.8,0.1,I,1.36,0.3,,,P,2,,,,,,,,,,,SpeX,,,,,,,,,,,,,,,,,,,
1510-0241,15101685-0241078,151016.79-024107.8,151016.522-024107.593,TVLM 868-110639,15 10 16.859,-02 41 07.85,227.570245,-2.685514,M8Ve,,1.08,0.06,5.22,0.11,2377,113,78.67,12.15,(None),,,-393.862,3.131,17.613,2.747,24.615,1,21.193,0.013,19.337,0.012,16.789,0.005,15.32,0.002,14.43,0.003,12.614,0.023,11.842,0.022,11.347,0.021,,,,,,D,,,1,,,,,,,,,,,,,,,,,,,,,,17.04,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J15102256-1147125,15102256-1147125,151022.43-114712.0,151022.364-114711.743,,15 10 22.568,-11 47 12.51,227.594035,-11.786809,L4:p ,NIR,,,,,,,,,(None),,,-220.7,8.9,54.2,7.3,26.403,0.4,24.787,0.649,23.597,0.396,20.591,0.02,18.924,0.007,17.882,0.008,15.656,0.063,14.881,0.052,14.256,0.072,,,,,,D,,,0,,,,,,,,,,Blue,,,,13.77,0.03,13.61,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J151036.15-620957.2,15103654-6209581,,,,15 10 36.160,-62 09 56.93,227.6506669,-62.1658148,L2.4,NIR,,,,,,,,,(None),,,-268.6,7.8,90.1,7.8,,,,,,,,,,,,,13.679,0.032,13.227,0.039,12.891,0.035,,,,,,,,,1,,,,,,,,,J151036.15-620957.2,,,,,12.273,0.028,12.148,0.028,10.966,0.126,8.982,,16.415,,,,,,,,,,,,,,,,,0.529,,,,,,,,,,,,,,,,,,,,,,
J1510-2818,15104786-2818174,,151047.749-281818.104,,15 10 47.722,-28 18 18.24,227.6988419,-28.3050666,M9,Opt,1.66,0.05,5.5,0.5,2600,200,37,4.4,(None),,,-122.025,2.882,-50.405,2.881,,,21.575,0.014,19.856,0.02,17.05,0.005,15.55,0.002,14.61,0.002,12.838,0.03,12.11,0.033,11.687,0.032,,,,,1,W,X,,1,1,15104786-2818174,0.88872999,2.4669263,1144.1,Montreal,J15104786-2818174.txt,,J151047.76-281818.0,"Red, Low-gravity (Young?)",ARG,59.1,,11.314,0.024,10.995,0.024,10.716,0.13,7.94,ARG,17.463,,,,,,,,,,0.01,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
J1511+4340,15111089+4340372,151110.91+434036.3,151110.965+434034.796,,15 11 10.890,+43 40 37.25,227.795376,43.677013,L5,Opt,,,,,,,,,Ursa Major,,,70.7,9.1,-188.5,15.6,25.102,0.667,25.065,0.519,23.458,0.324,21.445,0.088,19.695,0.026,18.686,0.025,16.604,0.154,15.469,0.133,14.703,0.126,,,,Opt,,D,,,0,,,,,,,,,J151110.95+434035.0,,,,30,13.957,0.025,13.606,0.029,13.085,,9.154,Ursa Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511+0607,15111466+0607431,151114.63+060742.7,151114.499+060742.755,SDSS J151114.66+060742.9,15 11 14.663,+06 07 43.17,227.811095,6.128657,L5.5: + T5,NIR,,,,,,,,,(None),27.25,4.75,-255.55,7.25,-237.98,7.26,26.528,0.919,21.685,0.185,23.804,1.107,21.023,0.325,19.125,0.056,,,16.016,0.079,14.955,0.075,14.544,0.1,,,X,NIR,,D,,,0,,1511+06,0.806463,2.56002,252.7,Leggett,T0_SDSS1511+06.txt,spex-prism_SDSSJ151114.66+060742.9_20050406_CHI06A.txt,151114.48+060740.7,Binary,,,,13.676,0.025,13.229,0.029,13,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1511+3535,15113624+3535117,151136.24+353511.4,151136.274+353511.373,,15 11 36.245,+35 35 11.71,227.90102,35.586586,L1,Opt,,,,,,,,,(None),,,1.05,50.26,-59.99,40,25.273,0.801,23.031,0.411,21.945,0.197,20.77,0.035,19.259,0.025,18.273,0.016,16.294,0.099,15.621,0.114,14.946,0.117,,,X,,,D,,,0,,,,,,,,,J151136.26+353511.5,,,,,14.62,0.026,14.309,0.037,13.197,,9.611,,,28.9,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1512+3403,15124058+3403501,151240.67+340350.1,151240.827+340350.052,,15 12 40.582,+34 03 50.18,228.169092,34.063938,L3,Opt,,,,,,,,,(None),,,244.8,8.5,-8.5,8.2,23.278,0.553,24.532,0.554,21.8,0.049,19.398,0.007,18.029,0.012,17.122,0.012,15.04,0.038,14.046,0.038,13.413,0.037,,,X,,,D,X,,0,,,,,,,,,J151240.81+340349.9,,,,,12.967,0.023,12.73,0.023,12.276,0.228,8.906,,,-2.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1513+4019,,,151314.619+401935.725,WISE J151314.61+401935.6,15 13 14.608,+40 19 35.66,228.3108681,40.3265736,L8,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.519,0.056,19.348,0.048,,,16.09,0.21,15.09,0.16,,,,NIR,1,D,,1,0,1,,,,,,,,J151314.60+401935.6,,,,,14.385,0.026,13.86,0.032,12.626,0.32,9.628,,,,,,,,,2MASS JHK Photometry from 2MASS Reject Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSO J228.6773-29.7088,15144258-2942315,,151442.578-294231.909,PSO J228.6775-29.7088,15 14 42.584,-29 42 31.59,228.677432,-29.708776,L1,NIR,,,,,,,15.1,0.6,(None),,,-18.4,11.5,-25.6,11,,,24.405,,22.055,,21.413,0.044,19.87,0.048,18.736,0.026,16.792,0.185,15.952,0.149,15.309,0.165,16.18,0.05,,,,W,,,0,,,,,,,,,J151442.59-294231.9,VL-G,Upper Centaurus-Lupus,,,14.82,0.033,14.222,0.049,11.834,,8.902,Upper Centaurus-Lupus,,,,,,,,,,,,16.72,0.05,,,,,,15.37,0.11,,,,,,,,,,,,,,,,,,,,
1515+4847,15150083+4847416,,151501.629+484746.211,2MASSW J1515008+484742,15 15 00.834,+48 47 41.69,228.753476,48.794914,L6,NIR,0.99,0.1,5.15,0.26,1505,74,56.83,17.52,(None),,,-948.78,21.39,1472.22,21.39,,,20.814,0.04,20.337,0.066,20.002,0.033,20.026,0.094,19.731,0.071,14.111,0.029,13.099,0.031,12.5,0.024,,,X,NIR,,D,X,,0,,1515+4847,0.93523,2.41731,1813.3,IRTF,L6(NIR)_2MASSJ1515+4847.txt,,,,,,,,,,,,,,,,-30,0.1,,,,,,,,,,,,,,,,,,SpeX,,,,,,,,,,,,,,,,,,,
J1515+4436,15150607+4436483,151506.10+443648.2,151506.183+443648.092,,15 15 06.078,+44 36 48.31,228.775325,44.613419,L7.5,NIR,,,5,0.5,1500,100,,,(None),,,98.1,10.7,-22,18.7,23.794,0.736,25.444,0.57,22.628,0.307,21.737,0.218,19.811,0.044,18.82,0.045,16.583,0.152,15.636,0.158,14.757,0.137,,,X,NIR,1,D,,1,0,1,151506.11+443648.3,0.646834,2.55448,243.4,SpeX,spex-prism_SDSSJ151506.11+443648.3_20080714_BUR10A.txt,,J151506.17+443648.0,,,,,13.988,0.025,13.521,0.027,12.497,0.267,9.565,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J1515+3412,15152713+3412328,151527.14+341232.7,151527.181+341232.880,,15 15 27.133,+34 12 32.88,228.863055,34.209133,L1,Opt,,,,,,,,,(None),,,47.5,9.2,-2.7,11.9,24.361,0.975,24.381,0.638,21.766,0.21,20.615,0.019,19.158,0.018,18.165,0.02,16.269,0.08,15.173,0.068,14.647,0.064,,,X,,,D,,,0,,,,,,,,,J151527.17+341232.8,,,,,14.414,0.027,14.143,0.036,13.155,,9.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1515+3255,15154232+3255435,151542.28+325543.2,151542.250+325542.670,,15 15 42.324,+32 55 43.54,228.92635,32.928761,L0,Opt,,,,,,,,,(None),,,-57.6,11.3,-54.7,14.7,25.461,0.589,24.318,0.396,22.741,0.151,20.245,0.015,18.834,0.018,17.894,0.007,16.215,0.073,15.569,0.094,14.963,0.078,,,,,,D,,,0,,,,,,,,,J151542.26+325542.8,,,,,14.797,0.028,14.429,0.039,12.885,0.315,8.776,,,-17.8,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1516+0259,15160303+0259292,151603.02+025928.9,151602.993+025927.324,,15 16 03.038,+02 59 29.30,229.01266,2.991471,T0:,NIR,,,,,,,,,(None),,,-56,27.3,-169.3,24.7,25.873,0.615,24.439,0.593,23.526,0.45,23.082,0.444,20.238,0.035,19.169,0.021,17.23,0.203,15.997,0.146,15.433,0.178,,,X,NIR,1,D,,1,0,1,1516+02,1.40185,2.52067,390.5,Leggett,T0_SDSS1516+02.txt,spex-prism_SDSSJ151603.03+025928.9_20080713_BUR10A.txt,J151602.99+025927.5,Candidate L7.5: + T2.5:: Binary,,,,14.645,0.031,14.094,0.045,12.382,,9.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1516+0110,,,151637.902+011050.679,ULAS J151637.89+011050.1,15 16 37.89,+01 10 50.1,229.15787,1.180583,T6.5,NIR,,,,,,,,,(None),,,,,,,,,,,21.348,0.003,,,,,,,,,,,,,18.67,0.06,,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41,0.05,,,,,,18.49,0.2,,19.48,0.12,,,,,,,,,,,,,,,,,
J1516+3053,15164306+3053443,151643.00+305344.4,151642.958+305344.572,,15 16 43.065,+30 53 44.34,229.179439,30.895651,T0.5p,NIR,,,,,,,,,(None),,,-94.7,17,18.9,21.6,24.531,0.802,25.756,0.422,24.663,0.594,23.15,0.399,20.495,0.045,19.206,0.042,16.848,0.154,15.868,0.161,15.081,0.092,,,X,NIR,1,D,,1,0,1,1516+30,1.39127,2.5038,890.2,Leggett,T0.5_SDSS1516+30.txt,spex-prism_SDSSJ151643.01+305344.4_20080712_BUR10A.txt,J151642.97+305344.4,Peculiar Spectrum,,,,14.139,0.026,13.399,0.027,12.093,0.203,9.419,Peculiar Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1516-2832,,,151652.394-283219.734,,15 16 52.400,-28 32 19.65,229.2183336,-28.5387912,M5,Opt,,,,,,,,,(None),,,,,,,,,15.933,0.003,14.612,0.008,12.915,0.104,12.166,0.001,11.826,0.007,,,,,,,,,,,,W,,,0,,,,,,,,,J151652.40-283219.6,,,,,9.42,0.022,9.231,0.021,8.996,0.03,8.859,,,,,,,,,,,,,,,,,,,0.481,,,,,,,,,,,,,,,,,,,,,,
PSO J229.2353-26.6737,15165651-2640251,,151656.492-264025.660,PSO J229.2354-26.6738,15 16 56.516,-26 40 25.20,229.235482,-26.673666,L0,NIR,,,,,,,15.7,1.6,(None),,,-30.8,10.9,-38.4,10.3,,,22.715,,20.826,,21.356,0.053,20.138,0.036,18.966,0.022,16.459,0.131,15.979,0.183,15.181,0.153,15.85,0.02,,,,W,,,0,,,,,,,,,J151656.49-264025.3,VL-G,Upper Centaurus-Lupus,,,14.73,0.035,14.371,0.057,12.342,,8.98,Upper Centaurus-Lupus,,,,,,,,,,,,16.76,0.03,,,,,,15.14,0.08,,,,,,,,,,,,,,,,,,,,
J1517+0529,,,151721.201+052922.065,WISE J151721.13+052929.3,15 17 21.129,+05 29 29.37,229.3380383,5.4914905,T8,NIR,,,,,,,,,(None),,,,,,,,,,,,,21.904,0.238,,,,,,,,,,,18.85,0.15,,,,D,,,0,,,,,,,,,J151721.12+052929.3,,,,,18.166,0.322,15.119,0.082,12.648,,9.319,,,,,,,,,,,,,18.54,0.05,16.85,0.05,15.1,0.02,,,,,19.57,0.07,,,,,,,,,,,,,,,,,
bet Cir B,15172161-5851297,,,VVV J151721.49-585131.5,15 17 21.423,-58 51 31.84,229.3392607,-58.8588439,L1.0,Opt,,,5.15,0.04,2084,150,58.6,7.3,AB Dor,29.8,1.4,-96.7,2.5,-133.1,2.6,,,,,,,,,,,,,14.535,0.056,13.676,0.042,13.21,0.043,,,,,,,,,0,,,,,,,,,,,,,22,,,,,,,,AB Dor,19.272,9.76,0.71,,,,,217.8 arcsec from A3V star bet Cir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1518+0716,,,151803.783+071653.120,CFBDS J151803.64+071645.9,15 18 03.64,+07 16 45.9,229.515165,7.279417,T2.5,NIR,,,,,,,,,(None),,,47.94,10,-26.97,9.99,,,22.023,0.000014,20.935,0.045,19.582,0.008,18.955,0.01,18.616,0.019,,,,,,,17.86,0.04,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 200-41 B,15183995-5628129,,,,15 18 39.953,-56 28 12.94,229.666471,-56.470261,,,,,,,,,,,(None),117.23,35.32,-178.922,3.116,-152.59,3.116,,,,,,,,,,,,,11.036,0.023,10.424,0.025,10.28,0.02,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12.745,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1519+7009,,,151904.736+700916.851,WISEPC J151906.64+700931.5,15 19 06.633,+70 09 31.33,229.7776355,70.1587015,T8,NIR,,,,,,,,,(None),,,,,,,,,,,21.143,0.036,21.043,0.048,20.597,0.298,,,,,,,,,18.28,0.07,X,,,W,,,0,,,,,,,,,J151906.63+700931.3,,,,,17.084,0.069,14.138,0.031,13.264,0.495,9.659,,,,,,,,,,,,,17.88,0.03,16.194,0.033,14.088,0.019,,,,,,,,,,,,,,,,,,,,,,,
UL1519,,,151913.030+000030.770,ULAS J151913.03-000030.0,15 19 13.030,-00 00 30.46,229.8042918,-0.0084616,esdL4,,,,5.5,,2100,,,,(None),,,-22,10,-421,10,,,,,,,21.46,0.09,19.628,0.088,18.909,0.012,,,,,,,17.07,0.03,,,,D,,,0,,,,,,,,,J151913.03-000030.4,,,,,16.252,0.06,15.715,0.136,12.509,,9.416,,,80,14,,,,,,,,,17.21,0.02,,,,,,16.97,0.04,,18.19,0.03,,,,,,,,,,,,,,,,,
J1520-4422,15200224-4422419,,,,15 20 02.242,-44 22 41.99,230.00934,-44.37833,L1.5 + L4.5,NIR,,,,,,,,,(None),,,-631.56,26.73,-366.1,18.65,,,,,,,,,,,,,13.228,0.026,12.364,0.029,11.894,0.03,,,X,,,,X,,1,,,,,,,,,152001.62-442246.0,Binary,,,,11.322,0.023,11.08,0.023,10.82,0.102,,,,,,,,,,Binary: sep=1.174+/-0.016 @ 152.9+/-0.7 deg on 2006 Apr. 8 (Burgasser et al. 2006); 2MASS JHK Photometry is based on the magnitude differences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1520+3546,15203974+3546210,152039.82+354619.8,152040.032+354616.691,,15 20 39.747,+35 46 21.04,230.165612,35.772511,T0,NIR,,,,,,,,,(None),,,330.3,9.8,-396.5,12,25.55,0.768,25.904,0.534,23.732,0.466,21.444,0.099,18.813,0.051,17.648,0.018,15.54,0.058,14.579,0.053,14,0.054,,,X,NIR,1,D,X,1,0,1,1520+35,1.02056,2.50384,770.1,Leggett,T0_SDSS1520+35.txt,,152040.02+354616.9,,,,,13.417,0.024,12.885,0.025,11.9,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1521+0131,15210327+0131426,152103.24+013142.7,152103.115+013143.340,,15 21 03.271,+01 31 42.69,230.263629,1.528525,T2:,NIR,,,,,,,,,(None),24.21,4.22,-211.81,18.76,83.43,17.36,,,,,,,,,20.309,0.044,18.609,0.019,16.399,0.102,15.576,0.099,15.347,0.171,,,X,NIR,1,D,,1,0,1,1521+01,1.02863,2.521,384.3,Leggett,T2_SDSS1521+01.txt,spex-prism_SDSSJ152103.24+013142.7_20080713_BUR10A.txt,J152103.13+013143.2,,,,,14.905,0.032,13.936,0.041,12.225,0.263,9.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1523+3125,,,152304.216+312543.599,WISE J152305.10+312537.6,15 23 05.099,+31 25 37.40,230.7712444,31.4270542,T6.5,NIR,,,,,,,,,(None),,,,,,,,,17.004,0.008,16.182,0.005,15.867,0.002,15.731,0.004,15.645,0.004,,,,,,,18.69,0.18,,NIR,1,D,,1,0,1,,,,,,,,J152305.09+312537.3,,,,,17.664,0.167,14.385,0.038,12.884,,9.411,,,,,,,,,,,,,18.27,0.07,15.95,0.03,14.28,0.02,,,,,,,,,,,,,,,,,,,,,,,
J1523-2347,15230657-2347526,,152306.414-234752.925,,15 23 06.574,-23 47 52.64,230.77739,-23.797955,L2.5,NIR,,,,,,,,,(None),,,159.06,12.65,308.17,12.47,,,,,20.952,0.031,18.402,0.009,16.905,0.007,15.985,0.004,14.203,0.033,13.42,0.033,12.903,0.032,,,X,,,W,X,,0,,,,,,,,,J152306.43-234752.8,,,,,12.309,0.021,11.973,0.023,11.576,0.255,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1523+1052,15231446+1052592,152314.46+105259.0,152314.483+105258.708,,15 23 14.495,+10 52 58.57,230.8103965,10.8829363,L0,Opt,,,,,,,,,(None),,,14.4,14,-43.3,17.4,23.342,0.427,21.781,0.446,19.92,0.228,20.456,0.039,18.94,0.014,17.964,0.014,16.087,0.096,15.154,0.075,14.821,0.124,,,X,,,D,,,0,,,,,,,,,J152314.47+105258.7,,,,,14.18,0.027,13.943,0.041,12.566,,9.311,,20.71,-44.2,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523+3014,15232263+3014562,,152322.749+301453.947,Gl 584C,15 23 22.635,+30 14 56.21,230.844312,30.248947,L8,NIR,0.97,0.11,5.09,0.4,1295,76,50.1,24.63,(None),17.86,0.25,142.99,4.42,-169.03,4.89,,,,,,,21.504,0.148,19.35,0.019,18.312,0.035,16.056,0.099,14.928,0.081,14.348,0.067,,,X,NIR,1,D,,1,0,1,gl584c.dat,1.1247855,2.3101394,2334.051156,BDSS,gl584c.dat,L8_2MASS1523+30.txt,J152322.73+301454.2,Companion,,,,13.549,0.024,13.032,0.025,11.905,0.181,9.036,,,,,,,,,Located 194 SE of Gl 584A; parallax is measured for Gl 584A; proper motion is measured for Gl 584C,,,,,,,,,,,,,NIRSPEC,,,,,,,,,,,,,,,,,,,
