Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,r_SpT,Peculiarities,r_Peculiarities,Member,Quality,r_Member,LACEwING,LACEwING probability,D_Trig,e_D_Trig,r_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,HRV,e_HRV,r_RV,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,e_WISE_W4,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,IRAC3p6,e_IRAC3p6,r_IRAC3p6,IRAC4p5,e_IRAC4p5,r_IRAC4p5,IRAC5p8,e_IRAC5p8,r_IRAC5p8,IRAC8,e_IRAC8,r_IRAC8,MKO_Y,e_MKO_Y,r_MKO_Y,J,e_J,H,e_H,K,e_K,JHKRef,MKO_J,e_MKO_J,MKO_H,e_MKO_H,MKO_K,e_MKO_K,MKORef,MKO_L,e_MKO_L,r_MKO_L,Variable,e_Variable,r_Variable,Variable_period,e_Variable_period,r_Variable_period,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Q/I,e_Q/I,U/I,e_U/I,Polarization Ref,InDwarfArchive,Comments,L-T Transition,Young,Variable%,Polarization,Priority,Declination,Visible,Varflag,Polflag,Ltflag,Jflag,Ranking,Star,Min,Max,R,Instrument,Source,Filename,Filename2,Sp Note
J1303+1815,13031775+1815219,130317.67+181522.2,130317.69+181522.0,,Schmidt2010,13 03 17.69,+18 15 22.0,195.82371,18.256111,L0,Opt,Schmidt2010,,,,,,(None),,,,,-110.1,16.4,28,18.8,GagneBDs,-8.9,8.9,Schmidt2010,14.661,0.036,14.388,0.059,>12.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.313,0.094,15.373,0.084,15.044,0.106,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1304+0907,13043318+0907070,130433.11+090707.3,130433.16+090706.9,,Schmidt2010,13 04 33.16,+09 07 06.9,196.13817,9.118583,L0,Opt,Schmidt2010,,,,,,(None),,,,,-96.4,25.3,22.8,30,GagneBDs,-18.4,12.5,Schmidt2010,13.643,0.066,13.315,0.065,12.235,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.287,0.058,14.569,0.07,13.95,0.071,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1305-2538,,,,WISP 130525.51-253828.8,Masters2012,13 05 25.51,-25 38 28.8,196.35629,-25.64133,> T9.5,NIR,Masters2012,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,0,,,,,,,,,
J1305-2541,13054019-2541059,130539.93-254106.1,,Kelu-1 AabB,Ruiz1997,13 05 40.19,-25 41 05.9,196.417458,-25.684972,L2,Opt,Kirkpatrick1999,Binary ; Young,Stumpf2008 ; Kirkpatrick2008,,,,(None),,19.23,1.47,Dupuy2012;Dahn2002,-284.79,1,10.94,0.99,Dahn2002,6.4,0.4,Blake2010,11.239,0.024,10.913,0.022,10.376,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.414,0.023,12.392,0.024,11.747,0.021,2MASS,,,,,,,,,,,,,,,,,I,0.8,0.27,,,,,,Zapatero-Osorio2005,X,Possible triple system: comp A is possible L0.5+T7 binary; comp AB parameters: a=0.3660+/-0.0006'' @ 222.74+/-0.1 deg (6/3/2008) Stumpf et al. (2008).,,,,P,,W,X,,2,,1,3,kelu1.dat,1.1404878,2.3102493,2376.932946,NIRSPEC,BDSS,kelu1.dat,L2_Kelu-1AB.txt,
Cha J1305-7739,,,,Cha 130540-773958,Allers2006,13 05 40.80,-77 39 58.2,196.420001,-77.666167,L0,Opt,Jayawardhana2006,Very Young?,Jayawardhana2006,Chamaeleon,Candidate,Jayawardhana2006,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Chamaeleon,,,1,,,,,,,,,,,,,,,,
J1305+2046,13054106+2046394,130541.02+204640.4,,GJ 499C ; 2MASSI J1305410+204639,Cruz2003,13 05 41.06,+20 46 39.4,196.421084,20.777611,L4:,Opt,Cruz2003,,,,,,(None),,18.8,0.61,VanLeeuwen2007,-23.27,19.36,73.37,25.55,Jameson2008,10.6,8.9,Schmidt2010,12.54,0.026,12.153,0.025,11.587,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.201,0.051,14.04,0.042,13.368,0.038,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1306+3820,13061727+3820296,130617.14+382029.6,,,Reid2008,13 06 17.26,+38 20 29.6,196.57192,38.341556,L0,Opt,Reid2008,,,,,,(None),,,,,-150.2,7.6,-5.6,11.5,GagneBDs,-1,8.4,Schmidt2010,12.901,0.025,12.582,0.025,11.942,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63,0.029,13.797,0.039,13.219,0.034,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1308+6103,13081228+6103486,130812.23+610348.8,,,Gei betaler2011,13 08 12.28,+61 03 48.6,197.051175,61.0635,L2,NIR,Gei betaler2011,,,,,,(None),,,,,-32.6,8,20.2,25.1,GagneBDs,,,,14.995,0.031,14.672,0.048,>13.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,0.145,16.155,0.214,>15.491,,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1308+0818,13083106+0818522,130830.90+081852.7,130831.01+081852.3,,Schmidt2010,13 08 31.01,+08 18 52.3,197.129205,8.314528,L0,Opt,Schmidt2010,,,,,,(None),,,,,-230.8,12.7,53.2,13.1,GagneBDs,,,,13.478,0.026,13.262,0.032,12.448,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.127,0.048,14.353,0.06,13.845,0.069,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1310+0554,13100288+0554042,131002.84+055404.2,,,West2008,13 10 02.89,+05 54 04.3,197.51203,5.90119,L0,Opt,West2008,,,,,,(None),,,,,-61.9,17.8,-1.3,18.5,GagneBDs,-16.9,7.1,West2008;Schmidt2010,14.644,0.032,14.404,0.058,>12.471,,,,25.58,0.71,25.94,0.47,22.98,0.22,20.11,0.04,18.33,0.03,,,,,,,,,,,,,,,,16.079,0.095,15.396,0.101,14.782,0.13,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J1311+0122,,131106.20+012254.3,,WISEPC J131106.24+012252.4,Kirkpatrick2011,13 11 06.24,+01 22 52.4,197.776005,1.381222,T9:,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,18.064,0.431,14.733,0.08,>12.110,,>9.287,,,,,,,,,,,,16.817,0.045,Kirkpatrick2011,14.676,0.02,Kirkpatrick2011,,,,,,,19.89,0.1,Scholz2012?,,,,,,,,18.97,0.08,>,18.8,>,18.3,Scholz2012?,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1311+2401,13111387+2401056,131113.77+240105.0,131113.82+240105.0,,Schmidt2010,13 11 13.82,+24 01 05.0,197.80758,24.018056,L3,Opt,Schmidt2010,,,,,,(None),,,,,-122.9,24.3,-54.4,22.9,GagneBDs,0.4,7.5,Schmidt2010,14.648,0.035,14.349,0.058,>12.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19,0.112,15.688,0.163,14.787,0.148,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1311+3629,13114227+3629235,131141.92+362924.7,131142.1+362923.9,WISEPC J131141.91+362925.2,Zhang2009,13 11 41.91,+36 29 25.2,197.924625,36.490333,L6,Opt,Zhang2009,Blue ; Strong Candidate L5 + T4:: binary,Kirkpatrick2011 ; Bardalez-Gagliuffi2014,,,,(None),,,,,-341,7.9,94.9,9.5,GagneBDs,,,,13.513,0.026,13.11,0.03,12.735,0.443,>8.88,,,,,,,,,,,,13.164,0.017,Kirkpatrick2011,13.191,0.017,Kirkpatrick2011,,,,,,,,,,15.545,0.051,14.752,0.056,14.14,0.048,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1312+3937,13120707+3937445,131206.96+393744.5,,,Cruz2007,13 12 07.00,+39 37 44.0,198.02917,39.628889,L0:,Opt,Cruz2007,,,,,,(None),,,,,-96.57,23.07,13.4,18.48,Jameson2008,-23.8,5,West2008,12.613,0.024,12.344,0.023,12.254,0.25,,,24.56,0.76,22.91,0.1,20.94,0.03,18.36,0.02,16.52,0.02,,,,,,,,,,,,,,,,14.165,0.022,13.406,0.023,12.945,0.021,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1312-7617,13121165-7617357,131211.10-761740.9,,,Luhman2014a,13 12 11.10,-76 17 40.9,198.04625,-76.294694,L5.5,NIR,Luhman2014a,,,,,,(None),,,,,-194.8,2.8,-519.5,15.3,GagneBDs,,,,13.828,0.028,13.531,0.034,12.332,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.043,0.107,15.275,0.112,14.347,0.093,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1312+2909,13122172+2909354,131221.88+290934.3,131221.79+290935.0,,Schmidt2010,13 12 21.79,+29 09 35.0,198.090795,29.159722,L0,Opt,Schmidt2010,,,,,,(None),,,,,198.3,10.4,-105.8,12.4,GagneBDs,-2.3,3.3,Schmidt2010,13.978,0.028,13.697,0.035,>13.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.328,0.056,14.776,0.085,14.296,0.072,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1314-0008,13141551-0008480,131415.53-000847.0,,SDSSp J131415.52-000848.1,Geballe2002,13 14 15.51,-00 08 48.0,198.564626,-0.146667,L3.5,NIR,Knapp2004,,,,,,(None),,,,,25.2,33,107,28.2,GagneBDs,,,,14.8,0.036,14.484,0.064,>12.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62,0.142,16.168,0.173,15.295,0.162,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,1314-00,1.45,2.535,1974.4,,Leggett,L3.5_SDSS1314-00.txt,,
J1314+2405,13144863+2405320,131448.66+240532.0,131448.64+240532.1,,Schmidt2010,13 14 48.64,+24 05 32.1,198.702675,24.09225,L3,Opt,Schmidt2010,,,,,,(None),,,,,38.5,21.8,-5.2,28.8,GagneBDs,3.6,8.4,Schmidt2010,15.01,0.039,14.802,0.083,>12.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.677,0.105,15.637,0.102,15.403,0.132,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1315+0826,,,,ULAS J131508.42+082627.4,Pinfield2008,13 15 08.42,+08 26 27.4,198.78508,8.440944,T7.5,NIR,Pinfield2008,,,,,,(None),,23.36,4.2,Marocco2010a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.08,Pinfield2008,,,,,,,,18.86,0.04,19.5,0.1,19.6,0.12,Pinfield2008,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1315-2649,13153094-2649513,131530.33-264954.7,,,Hall2002,13 15 30.94,-26 49 51.3,198.878916,-26.830917,L5.5,Opt,Kirkpatrick2008,Binary,Burgasser2011b,,,,(None),,,,,-683,15.8,-283.5,10.3,GagneBDs,,,,12.733,0.023,12.313,0.023,11.859,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.195,0.049,14.058,0.034,13.462,0.042,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,W,X,,,,,0,,,,,,,,,
J1315+2334,13154379+2334578,131543.57+233458.0,131543.68+233458.0,,Schmidt2010,13 15 43.68,+23 34 58.0,198.931995,23.582778,L1,Opt,Schmidt2010,,,,,,(None),,,,,-278.9,14.4,22.3,16.8,GagneBDs,-8.3,5.5,Schmidt2010,14.38,0.032,14.176,0.049,>12.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.805,0.07,15.041,0.082,14.771,0.085,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1315+2454,13154557+2454072,131545.52+245407.2,131545.55+245407.3,,Schmidt2010,13 15 45.55,+24 54 07.3,198.939795,24.902028,L0,Opt,Schmidt2010,,,,,,(None),,,,,-58.7,11.8,-1.9,13.6,GagneBDs,-42.2,12.7,Schmidt2010,13.97,0.028,13.685,0.04,>12.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.536,0.064,14.765,0.072,14.36,0.068,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1316+0755,,,,ULAS J131610.28+075553.0,Burningham2014,13 16 10.28,+07 55 53.0,199.04283,7.931389,T6.5 sd,NIR,Burningham2014,Subdwarf,Burningham2014,,,,(None),,,,,-1012.2,15.24,102.8,13.85,Burningham2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.14,Burningham2014,18.98,0.1,,,,,,18.98,0.1,,,,,Burningham2014,,,,,,,,,,,,,,,,,,,,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J1316+2133,13161436+2133298,131614.36+213330.2,131614.35+213329.9,,Schmidt2010,13 16 14.35,+21 33 29.9,199.059795,21.558306,L0,Opt,Schmidt2010,,,,,,(None),,,,,-1.7,19.4,46.1,22.4,GagneBDs,-40.7,4.5,Schmidt2010,14.613,0.033,14.198,0.052,>12.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.214,0.101,15.534,0.158,14.959,0.125,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J0245-3450,,131833.98-175826.5,,WISE J131833.98-175826.5,Mace2013,13 18 33.97,-17 58 26.3,199.641528,-17.973978,T9:,NIR,Mace2013,,,,,,(None),,,,,,,,,,,,,18.1,0.34,14.75,0.07,>12.43,,>9.47,,,,,,,,,,,,16.79,0.05,Mace2013,14.73,0.02,Mace2013,,,,,,,,,,18.43,0.19,17.71,0.23,>17.67,,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS JHK Photometry from the 2MASS camera at Bigelow,,,,,,D,,,,,,0,,,,,,,,,
J1318+2130,13183912+2130428,131839.04+213042.8,131839.06+213043.0,,Schmidt2010,13 18 39.06,+21 30 43.0,199.66275,21.511944,L0,Opt,Schmidt2010,,,,,,(None),,,,,-104.1,17.6,-2.9,18.8,GagneBDs,1.5,9,Schmidt2010,14.609,0.033,14.345,0.059,>12.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.436,0.118,15.5,0.129,15.041,0.117,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1318+1736,13184794+1736117,131847.87+173611.9,,,Kirkpatrick2010,13 18 47.94,+17 36 11.7,199.699755,17.60325,L5.5,NIR,Kirkpatrick2010,,,,,,(None),,,,,-102.9,14.3,19.5,15.5,GagneBDs,,,,13.884,0.026,13.512,0.035,>12.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.341,0.101,15.227,0.094,14.533,0.06,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,13184794+1736117,0.650314,2.56207,244.5,SpeX Prism,SpeX,spex-prism_2MASSJ13184794+1736117_20070318_KIR10A.txt,,
J1319+1209,,,,ULAS J131943.77+120900.2,Burningham2010b,13 19 43.77,+12 09 00.2,199.93238,12.150056,T5 p,NIR,Burningham2010b,Peculiar Spectrum,Burningham2010b,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.39,0.05,Burningham2010b,,,,,,,,18.9,0.05,18.9,0.15,19.41,0.1,Burningham2010b,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J1320+6034,,132004.16+603426.3,132004.85+603426.3,WISEPC J132004.16+603426.2,Kirkpatrick2011,13 20 04.16,+60 34 26.2,200.017335,60.573944,T6.5,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,16.938,0.111,14.414,0.05,>12.417,,>9.425,,25.231,0.854,24,0.455,25.834,0.437,23.622,0.638,20.357,0.146,15.833,0.028,Kirkpatrick2011,14.496,0.02,Kirkpatrick2011,,,,,,,,,,16.496,0.092,16.724,0.149,16.396,0.213,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J1320+0409,13204427+0409045,132043.93+040906.7,,,Reid2008,13 20 44.27,+04 09 04.5,200.184459,4.15125,L3::,Opt,Reid2008,,,,,,(None),,30.96,0.82,VanLeeuwen2007,-483.24,18.86,211.12,17.76,Jameson2008,,,,13.162,0.026,12.882,0.028,>12.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.246,0.045,14.302,0.028,13.621,0.046,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1320+1029,,,,ULAS J132048.12+102910.6,Burningham2010b,13 20 48.12,+10 29 10.6,200.2005,10.486278,T5,NIR,Burningham2010b,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.97,0.06,Burningham2010b,,,,,,,,17.82,0.02,17.89,0.05,18.17,0.13,Burningham2010b,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J1322-2340,,132233.64-234016.8,,WISEPA J132233.66-234017.1,Kirkpatrick2011,13 22 33.66,-23 40 17.1,200.640255,-23.671417,T8,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,17.192,0.222,13.876,0.052,>12.017,,8.594,0.34,,,,,,,,,,,15.666,0.026,Kirkpatrick2011,13.892,0.018,Kirkpatrick2011,,,,,,,,,,17.006,0.105,16.605,0.141,16.991,0.399,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,W,,,,,,0,,,,,,,,,
J1323-1806,13233597-1806379,132335.89-180638.3,,DENIS-P J1323-1806,Mart’n1999,13 23 35.97,-18 06 37.9,200.899875,-18.110528,L0,Opt,Mart’n1999,,,,,,(None),,,,,-86.9,15.82,-22.15,18.31,Jameson2008,,,,13.336,0.025,13.096,0.031,12.337,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.903,0.034,14.193,0.045,13.663,0.047,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1324+1906,13240776+1906271,132407.68+190626.1,,PSO J201.0320+19.1072,Deacon2011,13 24 07.68,+19 06 25.9,201.031995,19.1072,T3.5,NIR,Deacon2011,,,,,,(None),,,,,-96.62,0,-86.97,0,Deacon2011,,,,15.1,0.038,13.78,0.038,12.055,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.769,0.074,15.467,0.124,15.415,0.158,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,X,,,1,,1,,,,,,,,,
J1324+6358,13243553+6358281,132434.95+635827.5,,,Looper2007,13 24 35.59,+63 58 28.2,201.148292,63.974487,T2: p,NIR,Looper2007,Peculiar Spectrum ; Candidate L8 + T3.5 binary,Looper2007 ; Burgasser2010a,,,,(None),,,,,-342.51,63.74,-259.98,48.4,Looper2007,,,,13.132,0.024,12.29,0.023,10.835,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.596,0.066,14.576,0.056,14.058,0.059,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,X,,,1,,1,13243553+6358281,0.650863,2.5628,244.6,SpeX Prism,SpeX,spex-prism_2MASSJ13243553+6358281_20060411_LOO07A.txt,spex-prism_2MASSJ13243559+6358284_20060411_LOO07A.txt,
J1325+0517,13251108+0517041,132511.11+051703.3,132511.10+051704.2,,Schmidt2010,13 25 11.10,+05 17 04.2,201.29625,5.2845,L1,Opt,Schmidt2010,,,,,,(None),,,,,39.5,11.7,-83.3,13.6,GagneBDs,7.3,10.2,Schmidt2010,13.543,0.026,13.278,0.031,>12.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.086,0.044,14.523,0.046,13.91,0.054,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1326+1200,,,,ULAS J132605.18+120009.9,Burningham2010b,13 26 05.18,+12 00 09.9,201.52158,12.00275,T6 p,NIR,Burningham2010b,Peculiar Spectrum,Burningham2010b,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,0.03,Burningham2010b,,,,,,,,17.5,0.02,17.93,0.09,17.58,0.05,Burningham2010b,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J1326-2729,13262009-2729370,132619.80-272937.2,,2MASSW J1326201-272937,Gizis2002,13 26 20.09,-27 29 37.0,201.583709,-27.493611,L5,Opt,Gizis2002,,,,,,(None),,,,,-363.7,16.48,-15.88,13.98,Jameson2008,,,,12.853,0.023,12.339,0.024,11.812,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.847,0.07,14.741,0.058,13.852,0.054,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,W,X,,,,,0,,,,,,,,,
J1326-0038,13262981-0038314,132629.64-003832.6,,SDSSp J132629.82-003831.5,Fan2000,13 26 29.81,-00 38 31.4,201.624209,-0.642056,L8:,Opt,Fan2000,,,,,,(None),,20.01,2.53,Vrba2004,-226.43,8.27,-107.37,5.55,Vrba2004,,,,13.269,0.024,12.754,0.026,12.364,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.103,0.07,15.05,0.06,14.208,0.066,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Opt,,,,1,D,,,,1,,1,1326-00,0.542,2.50429,351.3,,Leggett,L5.5_SDSS1326-00.txt,spex-prism_SDSSpJ132629.82-003831.5_20050324_BUR10A.txt,
J1327+0759,13271524+0759375,132715.12+075937.8,132715.21+075937.5,,Schmidt2010,13 27 15.21,+07 59 37.5,201.813375,7.99375,L1,Opt,Schmidt2010,,,,,,(None),,,,,-177.3,12.5,30.8,17.2,GagneBDs,-7.9,11.7,Schmidt2010,12.808,0.025,12.532,0.027,12.317,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.599,0.037,13.785,0.041,13.236,0.036,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J1328+2114,13285503+2114486,132855.21+211443.9,,2MASSW J1328550+211449,Kirkpatrick1999,13 28 55.03,+21 14 48.6,202.229292,21.246833,L5,Opt,Kirkpatrick1999,,,,,,(None),,32.26,3.95,Dahn2002,219.16,1.71,-428.28,1.78,Dahn2002,,,,13.58,0.025,13.368,0.032,>12.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.192,0.104,15.002,0.081,14.265,0.082,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1329+5317,13292602+5317344,132926.05+531733.4,132926.03+531733.9,,Zhang2009,13 29 26.02,+53 17 34.4,202.358417,53.292889,L1,Opt,Zhang2009,,,,,,(None),,,,,9.94,132.61,-189.74,120.04,Zhang2009,,,,15.219,0.038,14.952,0.067,>13.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.815,0.198,15.594,0.167,15.622,0.235,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1329+0357,13293723+0357297,132937.23+035729.8,,,West2008,13 29 37.22,+03 57 29.6,202.40507,3.95823,L0,Opt,West2008,,,,,,(None),,,,,5,17.8,11.7,19.7,GagneBDs,-6.3,22.5,West2008;Schmidt2010,14.399,0.028,14.055,0.043,>12.991,,,,23.14,0.59,24.63,0.6,22.87,0.22,20.2,0.04,18.34,0.03,,,,,,,,,,,,,,,,16.038,0.096,15.148,0.092,15.046,0.142,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J1330+1411,13301009+1411132,133009.97+141113.4,133010.03+141113.3,,Schmidt2010,13 30 10.03,+14 11 13.3,202.54179,14.187028,L0,Opt,Schmidt2010,,,,,,(None),,,,,-150.3,23.2,15.2,24.1,GagneBDs,-15.2,8.6,Schmidt2010,15.254,0.042,14.986,0.077,>12.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.442,0.111,15.761,0.156,15.206,0.146,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J1331+3407,13313310+3407583,133132.80+340756.4,,,Reid2008,13 31 33.10,+34 07 58.3,202.887917,34.132861,L0,Opt,Reid2008,Red,Kirkpatrick2010,,,,AB Dor,24,,,,-352.73,18.71,-169,18.5,Jameson2008,11.6,60.4,Schmidt2010;Kirkpatrick2010,12.546,0.023,12.318,0.024,11.754,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.333,0.024,13.401,0.03,12.885,0.02,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,AB Dor,,,,D,X,,,,,0,13313310+3407583,0.650996,2.56,244.3,SpeX Prism,SpeX,spex-prism_2MASSJ13313310+3407583_20070704_KIR10A.txt,,
J1331-0116,13314894-0116500,133148.64-011701.7,133148.92-011651.4,,Hawley2002,13 31 48.93,-01 16 50.0,202.95387,-1.280556,L6,Opt,Hawley2002,Blue,Knapp2004,,,,(None),,14.86,2.78,Marocco2013,-407.65,17.08,-1029.62,15.27,Jameson2008,,,,13.412,0.024,13.123,0.028,12.262,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.459,0.04,14.475,0.039,14.073,0.068,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,X,,,1,,1,1331-01,0.380364,2.52067,684.9,,Leggett,L8_SDSS1331-01.txt,,
J1332+2635,13322863+2635079,133228.46+263508.4,,2MASSI J1332286+263508,Kirkpatrick2000,13 32 28.63,+26 35 07.9,203.119292,26.585528,L2,Opt,Kirkpatrick2000,,,,,,(None),,,,,-151.48,13.02,40.87,16.21,Jameson2008,,,,14.095,0.028,13.795,0.039,>12.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.076,0.089,15.122,0.083,14.348,0.082,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
